0.59729,0.45455,0.86456,0.74073,0.72812,0.62131,0.62131,0.86456,0.69456,0.74073,0.95211,0.79616,0.95211,0.65528,0.74073,0.65528,0.79616,0.74073,0.74073,0.74073,0.79616,0.69456,0.69456,0.74073,0.74073,0.74073,0.74073,0.74073
-0.044803,0.36495,0.47616,0.77749,0.73154,0.62986,0.57394,0.81133,0.8493,0.77731,0.757,0.77731,0.76993,0.7197,0.7174,0.77731,0.77731,0.77731,0.8493,0.7186,0.77731,0.8493,0.81133,0.67434,0.81133,0.77731,0.77731,0.81133
-0.0395,0.43413,0.30498,0.60511,0.60413,0.51478,0.67654,0.71612,0.65846,0.68355,0.78603,0.73162,0.71622,0.71249,0.83884,0.74351,0.73162,0.72278,0.63049,0.72369,0.72136,0.83372,0.86841,0.86841,0.81148,0.7963,0.74553,0.80634
-0.06553,0.36648,0.47179,0.42775,0.42354,0.51487,0.52895,0.6321,0.67669,0.75946,0.69501,0.74309,0.73575,0.77387,0.76741,0.71971,0.71234,0.77705,0.70031,0.78186,0.73558,0.67001,0.62845,0.72111,0.71149,0.77069,0.81629,0.78467
0.049147,-0.12151,0.33611,0.32194,0.49705,0.56721,0.66043,0.64576,0.47436,0.61541,0.67592,0.62097,0.73134,0.70701,0.75742,0.729,0.73437,0.72782,0.59452,0.75208,0.79534,0.81447,0.79021,0.78119,0.80907,0.80907,0.7874,0.76495
-0.060295,0.13206,0.10615,0.32648,0.57557,0.49807,0.61148,0.6083,0.66342,0.60557,0.62222,0.74756,0.77442,0.74441,0.8137,0.65444,0.68691,0.83586,0.78314,0.71431,0.72051,0.83498,0.79494,0.77154,0.7416,0.7516,0.71505,0.74737
0.087455,0.19964,0.22474,0.50974,0.38877,0.48145,0.62409,0.61188,0.69213,0.61949,0.73539,0.62311,0.60215,0.73277,0.70532,0.67935,0.72096,0.5543,0.74802,0.72821,0.79084,0.72307,0.85014,0.84207,0.803,0.77545,0.84678,0.69895
0.20339,0.12701,0.21617,0.28665,0.41671,0.37573,0.55624,0.59805,0.6534,0.50644,0.59321,0.73151,0.51016,0.72649,0.66566,0.74114,0.73664,0.72082,0.74333,0.82411,0.77251,0.74841,0.76329,0.70958,0.73003,0.84484,0.8204,0.78445
0.12108,0.040782,0.38118,0.23307,0.38489,0.21408,0.45941,0.60749,0.70594,0.6517,0.65115,0.71828,0.69468,0.79131,0.74631,0.67819,0.63581,0.69491,0.72108,0.76434,0.84573,0.80031,0.83796,0.72867,0.77249,0.73802,0.82522,0.7728
-0.088962,0.10572,0.07306,0.26381,0.13721,0.21552,0.51887,0.54385,0.51338,0.52675,0.57028,0.65454,0.77242,0.62149,0.68514,0.71468,0.71061,0.75906,0.66892,0.812,0.76165,0.73306,0.73284,0.79247,0.82478,0.80945,0.81206,0.82236
